01,79992221122,79992223344,2025-02-01T12:12:16.044269,2025-02-01T12:23:55.044269
01,79992221122,79998881188,2025-02-02T06:12:16.044269,2025-02-02T06:53:37.044269
02,79996661166,79992221122,2025-02-02T06:45:16.044269,2025-02-02T07:38:03.044269
01,79992221122,79992223344,2025-02-02T07:53:16.044269,2025-02-02T08:29:38.044269
01,79992221122,79999991199,2025-02-03T02:05:16.044269,2025-02-03T03:02:30.044269
01,79991112233,79992221122,2025-02-03T14:55:16.044269,2025-02-03T15:07:45.044269
02,79993331133,79992221122,2025-02-03T15:41:16.044269,2025-02-03T15:58:33.044269
01,79993331133,79992221122,2025-02-03T20:21:16.044269,2025-02-03T20:32:33.044269
01,79991112233,79992221122,2025-02-03T21:39:16.044269,2025-02-03T22:06:17.044269
01,79992221122,79991112233,2025-02-03T23:46:16.044269,2025-02-03T23:55:32.044269
01,79992221122,79991112233,2025-02-04T03:27:16.044269,2025-02-04T03:56:41.044269
01,79995551155,79992221122,2025-02-04T04:21:16.044269,2025-02-04T05:16:10.044269
02,79997771177,79992221122,2025-02-04T07:24:16.044269,2025-02-04T07:34:33.044269
01,79992223344,79992221122,2025-02-04T17:39:16.044269,2025-02-04T17:52:09.044269
01,79992221122,79995551155,2025-02-05T00:04:16.044269,2025-02-05T00:57:31.044269
02,79995551155,79992221122,2025-02-05T05:23:16.044269,2025-02-05T05:29:03.044269
01,79992221122,79997771177,2025-02-05T13:40:16.044269,2025-02-05T14:03:46.044269
01,79994441144,79992221122,2025-02-05T14:04:16.044269,2025-02-05T14:32:27.044269
02,79992221122,79993331133,2025-02-05T22:39:16.044269,2025-02-05T23:36:20.044269
02,79992221122,79994441144,2025-02-05T23:59:16.044269,2025-02-06T00:34:09.044269
02,79992221122,79999991199,2025-02-06T06:56:16.044269,2025-02-06T07:20:20.044269
02,79998881188,79992221122,2025-02-06T21:20:16.044269,2025-02-06T22:16:17.044269
02,79992221122,79992223344,2025-02-07T00:20:16.044269,2025-02-07T00:33:34.044269
01,79998881188,79992221122,2025-02-07T04:22:16.044269,2025-02-07T04:43:56.044269
01,79992223344,79992221122,2025-02-07T06:41:16.044269,2025-02-07T06:54:22.044269
01,79992221122,79993331133,2025-02-07T08:32:16.044269,2025-02-07T09:01:08.044269
02,79992223344,79992221122,2025-02-07T13:05:16.044269,2025-02-07T13:33:45.044269
02,79992221122,79992223344,2025-02-07T16:02:16.044269,2025-02-07T16:13:10.044269
01,79993331133,79992221122,2025-02-08T03:48:16.044269,2025-02-08T04:16:04.044269
01,79992221122,79995551155,2025-02-08T04:38:16.044269,2025-02-08T04:39:51.044269
01,79999991199,79992221122,2025-02-08T12:21:16.044269,2025-02-08T12:59:33.044269
01,79995551155,79992221122,2025-02-08T16:37:16.044269,2025-02-08T16:47:39.044269
02,79992221122,79993331133,2025-02-09T01:22:16.044269,2025-02-09T02:01:56.044269
02,79996661166,79992221122,2025-02-09T13:08:16.044269,2025-02-09T13:40:35.044269
02,79992221122,79993331133,2025-02-09T13:16:16.044269,2025-02-09T13:51:11.044269
02,79992221122,79992223344,2025-02-09T13:34:16.044269,2025-02-09T13:35:25.044269
02,79992221122,79999991199,2025-02-10T04:13:16.044269,2025-02-10T04:39:13.044269
02,79995551155,79992221122,2025-02-10T04:55:16.044269,2025-02-10T04:59:56.044269
01,79992221122,79997771177,2025-02-10T05:07:16.044269,2025-02-10T05:09:29.044269
01,79999991199,79992221122,2025-02-10T08:33:16.044269,2025-02-10T09:12:30.044269
02,79992221122,79993331133,2025-02-11T01:38:16.044269,2025-02-11T02:13:01.044269
01,79995551155,79992221122,2025-02-11T15:34:16.044269,2025-02-11T15:43:36.044269
